comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
suka banget sama gayanya jalan maju kedepan pas musuhnya emosi 🙏😆,suka banget sama gayanya jalan maju kedepan pas musuhnya emosi,"['suka', 'banget', 'sama', 'gayanya', 'jalan', 'maju', 'kedepan', 'pas', 'musuhnya', 'emosi']","['suka', 'banget', 'gayanya', 'jalan', 'maju', 'kedepan', 'pas', 'musuhnya', 'emosi']","['suka', 'banget', 'gaya', 'jalan', 'maju', 'depan', 'pas', 'musuh', 'emosi']",suka banget gaya jalan maju depan pas musuh emosi,positive
Btw rocky ditantang hotman ga berani,btw rocky ditantang hotman tidak berani,"['btw', 'rocky', 'ditantang', 'hotman', 'tidak', 'berani']","['btw', 'rocky', 'ditantang', 'hotman', 'berani']","['btw', 'rocky', 'tantang', 'hotman', 'berani']",btw rocky tantang hotman berani,positive
"Silvester adalah ngabalin jilid 3🤣🤣
Jilid 2 nya fahri hamzah",silfester adalah ngabalin jilid jilid nya fahri hamzah,"['silfester', 'adalah', 'ngabalin', 'jilid', 'jilid', 'nya', 'fahri', 'hamzah']","['silfester', 'ngabalin', 'jilid', 'jilid', 'fahri', 'hamzah']","['silfester', 'ngabalin', 'jilid', 'jilid', 'fahri', 'hamzah']",silfester ngabalin jilid jilid fahri hamzah,positive
"Humiliating person effortlessly, nice one Bung Rocky",humiliating person effortlessly nice one bung rocky,"['humiliating', 'person', 'effortlessly', 'nice', 'one', 'bung', 'rocky']","['humiliating', 'person', 'effortlessly', 'nice', 'one', 'rocky']","['humiliating', 'person', 'effortlessly', 'nice', 'one', 'rocky']",humiliating person effortlessly nice one rocky,positive
Kentara sekali dia penjilat,kentara sekali dia penjilat,"['kentara', 'sekali', 'dia', 'penjilat']","['kentara', 'penjilat']","['kentara', 'jilat']",kentara jilat,positive
Bung roky ga ada imbang,bung rocky tidak ada imbang,"['bung', 'rocky', 'tidak', 'ada', 'imbang']","['rocky', 'imbang']","['rocky', 'imbang']",rocky imbang,positive
saya ga bela siapa2 ..cuma mau bertanya aja.rocky gerung sdah berbuat apa aja utk NKRI??,saya tidak bela siapa cuma mau bertanya saja rocky gerung sdah berbuat apa saja untuk nkri,"['saya', 'tidak', 'bela', 'siapa', 'cuma', 'mau', 'bertanya', 'saja', 'rocky', 'gerung', 'sdah', 'berbuat', 'apa', 'saja', 'untuk', 'nkri']","['bela', 'rocky', 'gerung', 'sdah', 'berbuat', 'nkri']","['bela', 'rocky', 'gerung', 'sdah', 'buat', 'nkri']",bela rocky gerung sdah buat nkri,positive
"Sesekali rocky gerung, dikasih hadiah sj, bogem mentah....biar merasakan sperti apa enaknya....😀😀",sesekali rocky gerung dikasih hadiah sj bogem mentah biar merasakan sperti apa enaknya,"['sesekali', 'rocky', 'gerung', 'dikasih', 'hadiah', 'sj', 'bogem', 'mentah', 'biar', 'merasakan', 'sperti', 'apa', 'enaknya']","['rocky', 'gerung', 'dikasih', 'hadiah', 'sj', 'bogem', 'mentah', 'biar', 'merasakan', 'sperti', 'enaknya']","['rocky', 'gerung', 'kasih', 'hadiah', 'sj', 'bogem', 'mentah', 'biar', 'rasa', 'sperti', 'enak']",rocky gerung kasih hadiah sj bogem mentah biar rasa sperti enak,positive
"Rocky Gerung di sini keren bwuaanget,  masyaAllah.... kalo saya ada di situ udah tepuk tangan terus setiap kalimat beliau selesai ngejawab penjilat 😂😍👏🏾👏🏾👏🏾",rocky gerung di sini keren bwuaanget masyaallah kalau saya ada di situ udah tepuk tangan terus setiap kalimat beliau selesai ngejawab penjilat,"['rocky', 'gerung', 'di', 'sini', 'keren', 'bwuaanget', 'masyaallah', 'kalau', 'saya', 'ada', 'di', 'situ', 'udah', 'tepuk', 'tangan', 'terus', 'setiap', 'kalimat', 'beliau', 'selesai', 'ngejawab', 'penjilat']","['rocky', 'gerung', 'keren', 'bwuaanget', 'masyaallah', 'situ', 'udah', 'tepuk', 'tangan', 'kalimat', 'beliau', 'selesai', 'ngejawab', 'penjilat']","['rocky', 'gerung', 'keren', 'bwuaanget', 'masyaallah', 'situ', 'udah', 'tepuk', 'tangan', 'kalimat', 'beliau', 'selesai', 'ngejawab', 'jilat']",rocky gerung keren bwuaanget masyaallah situ udah tepuk tangan kalimat beliau selesai ngejawab jilat,positive
Ga level sama bung Rocky...kasian.. mantap bung Rocky anda layak dapat bintang.,tidak level sama bung rocky kasian mantap bung rocky anda layak dapat bintang,"['tidak', 'level', 'sama', 'bung', 'rocky', 'kasian', 'mantap', 'bung', 'rocky', 'anda', 'layak', 'dapat', 'bintang']","['level', 'rocky', 'kasian', 'mantap', 'rocky', 'layak', 'bintang']","['level', 'rocky', 'kasi', 'mantap', 'rocky', 'layak', 'bintang']",level rocky kasi mantap rocky layak bintang,positive
"Panjang umur bung rocky, Indonesia butuh orang yg punya pemikiran seperti anda. Best of the best👍🏻",panjang umur bung rocky indonesia butuh orang yang punya pemikiran seperti anda best of the best,"['panjang', 'umur', 'bung', 'rocky', 'indonesia', 'butuh', 'orang', 'yang', 'punya', 'pemikiran', 'seperti', 'anda', 'best', 'of', 'the', 'best']","['umur', 'rocky', 'indonesia', 'butuh', 'orang', 'pemikiran', 'best', 'best']","['umur', 'rocky', 'indonesia', 'butuh', 'orang', 'pikir', 'best', 'best']",umur rocky indonesia butuh orang pikir best best,positive
"Bang Rocky lebih cerdas, beradab berakal sehat..lanjutkan bang Rocky rakyat mendukungmu..👍👍",bang rocky lebih cerdas beradab berakal sehat lanjutkan bang rocky rakyat mendukungmu,"['bang', 'rocky', 'lebih', 'cerdas', 'beradab', 'berakal', 'sehat', 'lanjutkan', 'bang', 'rocky', 'rakyat', 'mendukungmu']","['bang', 'rocky', 'cerdas', 'beradab', 'berakal', 'sehat', 'lanjutkan', 'bang', 'rocky', 'rakyat', 'mendukungmu']","['bang', 'rocky', 'cerdas', 'adab', 'akal', 'sehat', 'lanjut', 'bang', 'rocky', 'rakyat', 'dukung']",bang rocky cerdas adab akal sehat lanjut bang rocky rakyat dukung,positive
2+ 4 = kambing,kambing,['kambing'],['kambing'],['kambing'],kambing,positive
Wkwkwk hahahahahahaha,wkwkwk hahahahahahaha,"['wkwkwk', 'hahahahahahaha']",['hahahahahahaha'],['hahahahahahaha'],hahahahahahaha,positive
Hahahahahah🤣🤣🤣🤣🤣🤣,hahahahahah,['hahahahahah'],['hahahahahah'],['hahahahahah'],hahahahahah,positive
"Mantab bang Roki......
Payah sekali pemuja mulyono😂😂😂😂😂",mantab bang rocky payah sekali pemuja mulyono,"['mantab', 'bang', 'rocky', 'payah', 'sekali', 'pemuja', 'mulyono']","['mantab', 'bang', 'rocky', 'payah', 'pemuja', 'mulyono']","['mantab', 'bang', 'rocky', 'payah', 'puja', 'mulyono']",mantab bang rocky payah puja mulyono,positive
Sangat berguna untuk mengontrol kekuasaan diluar pemerintahan.,sangat berguna untuk mengontrol kekuasaan diluar pemerintahan,"['sangat', 'berguna', 'untuk', 'mengontrol', 'kekuasaan', 'diluar', 'pemerintahan']","['berguna', 'mengontrol', 'kekuasaan', 'diluar', 'pemerintahan']","['guna', 'kontrol', 'kuasa', 'luar', 'perintah']",guna kontrol kuasa luar perintah,positive
"Belum minum obat kawan
Like rocky",belum minum obat kawan like rocky,"['belum', 'minum', 'obat', 'kawan', 'like', 'rocky']","['minum', 'obat', 'kawan', 'like', 'rocky']","['minum', 'obat', 'kawan', 'like', 'rocky']",minum obat kawan like rocky,positive
Terima kasih pak Rocky. Not Rocky no Party,terima kasih pak rocky not rocky no party,"['terima', 'kasih', 'pak', 'rocky', 'not', 'rocky', 'no', 'party']","['terima', 'kasih', 'rocky', 'rocky', 'party']","['terima', 'kasih', 'rocky', 'rocky', 'party']",terima kasih rocky rocky party,positive
"Massya allah bang rocky..genius ...jadi kepingin anakku banyak nimba ilmu dari bang rocky..tapi apalah daya tangan tak sampai😅
I love u bang roky..",massya allah bang rocky genius jadi kepingin anakku banyak nimba ilmu dari bang rocky tapi apalah daya tangan tidak sampai love bang rocky,"['massya', 'allah', 'bang', 'rocky', 'genius', 'jadi', 'kepingin', 'anakku', 'banyak', 'nimba', 'ilmu', 'dari', 'bang', 'rocky', 'tapi', 'apalah', 'daya', 'tangan', 'tidak', 'sampai', 'love', 'bang', 'rocky']","['massya', 'allah', 'bang', 'rocky', 'genius', 'kepingin', 'anakku', 'nimba', 'ilmu', 'bang', 'rocky', 'apalah', 'daya', 'tangan', 'love', 'bang', 'rocky']","['massya', 'allah', 'bang', 'rocky', 'genius', 'kepingin', 'anak', 'nimba', 'ilmu', 'bang', 'rocky', 'apa', 'daya', 'tangan', 'love', 'bang', 'rocky']",massya allah bang rocky genius kepingin anak nimba ilmu bang rocky apa daya tangan love bang rocky,positive
Bagus bang silverster... Kl perlu hajar... Sj kacung orba itu,bagus bang silverster kalau perlu hajar sj kacung orba itu,"['bagus', 'bang', 'silverster', 'kalau', 'perlu', 'hajar', 'sj', 'kacung', 'orba', 'itu']","['bagus', 'bang', 'silverster', 'hajar', 'sj', 'kacung', 'orba']","['bagus', 'bang', 'silverster', 'hajar', 'sj', 'kacung', 'orba']",bagus bang silverster hajar sj kacung orba,positive
Mantap bung orang terbijak di negeri ini,mantap bung orang terbijak di negeri ini,"['mantap', 'bung', 'orang', 'terbijak', 'di', 'negeri', 'ini']","['mantap', 'orang', 'terbijak', 'negeri']","['mantap', 'orang', 'bijak', 'negeri']",mantap orang bijak negeri,positive
Attitude di pakai pak....seluruh rakyat Indonesia melihat pak...😂,attitude di pakai pak seluruh rakyat indonesia melihat pak,"['attitude', 'di', 'pakai', 'pak', 'seluruh', 'rakyat', 'indonesia', 'melihat', 'pak']","['attitude', 'pakai', 'rakyat', 'indonesia']","['attitude', 'pakai', 'rakyat', 'indonesia']",attitude pakai rakyat indonesia,positive
"Di hari sebelumnya pada chanel yg berbeda mereka sdh bertemu dengan debat sengit. Semalam bertemu kembali kesengitan yg dulu berlanjut lebih sengit. Semoga besok dipertemukan dlm satu forum dan saya ingin lihat seberapa bernyalinya si silfester ini. Kalo rocky sih sy ndak ragu lagi. Good bung rock, Indonesia sgt butuh anda bung,.. ❤",di hari sebelumnya pada chanel yang berbeda mereka sudah bertemu dengan debat sengit semalam bertemu kembali kesengitan yang dulu berlanjut lebih sengit semoga besok dipertemukan dalam satu forum dan saya ingin lihat seberapa bernyalinya si silfester ini kalau rocky sih saya ndak ragu lagi good bung rocky indonesia sgt butuh anda bung,"['di', 'hari', 'sebelumnya', 'pada', 'chanel', 'yang', 'berbeda', 'mereka', 'sudah', 'bertemu', 'dengan', 'debat', 'sengit', 'semalam', 'bertemu', 'kembali', 'kesengitan', 'yang', 'dulu', 'berlanjut', 'lebih', 'sengit', 'semoga', 'besok', 'dipertemukan', 'dalam', 'satu', 'forum', 'dan', 'saya', 'ingin', 'lihat', 'seberapa', 'bernyalinya', 'si', 'silfester', 'ini', 'kalau', 'rocky', 'sih', 'saya', 'ndak', 'ragu', 'lagi', 'good', 'bung', 'rocky', 'indonesia', 'sgt', 'butuh', 'anda', 'bung']","['chanel', 'berbeda', 'bertemu', 'debat', 'sengit', 'semalam', 'bertemu', 'kesengitan', 'berlanjut', 'sengit', 'semoga', 'besok', 'dipertemukan', 'forum', 'lihat', 'bernyalinya', 'si', 'silfester', 'rocky', 'sih', 'ndak', 'ragu', 'good', 'rocky', 'indonesia', 'sgt', 'butuh']","['chanel', 'beda', 'temu', 'debat', 'sengit', 'malam', 'temu', 'sengit', 'lanjut', 'sengit', 'moga', 'besok', 'temu', 'forum', 'lihat', 'nyali', 'si', 'silfester', 'rocky', 'sih', 'ndak', 'ragu', 'good', 'rocky', 'indonesia', 'sgt', 'butuh']",chanel beda temu debat sengit malam temu sengit lanjut sengit moga besok temu forum lihat nyali si silfester rocky sih ndak ragu good rocky indonesia sgt butuh,positive
3 juta x ditonton😂,juta ditonton,"['juta', 'ditonton']","['juta', 'ditonton']","['juta', 'tonton']",juta tonton,positive
Mantap emng bung Rocky 🎉,mantap emng bung rocky,"['mantap', 'emng', 'bung', 'rocky']","['mantap', 'emng', 'rocky']","['mantap', 'emng', 'rocky']",mantap emng rocky,positive
Sejat trus pak rocky❤,sejat terus pak rocky,"['sejat', 'terus', 'pak', 'rocky']","['sejat', 'rocky']","['sejat', 'rocky']",sejat rocky,positive
"Lanjutkan bung Rocky ,",lanjutkan bung rocky,"['lanjutkan', 'bung', 'rocky']","['lanjutkan', 'rocky']","['lanjut', 'rocky']",lanjut rocky,positive
Tidak bisa di satukan ataupun dipertemukan antara argumen bang roki dengan yg lainya... sebab bang rocky hanya pintar berteori..... yg lainyaaa matang dan tau di lapangan..... jadinya omon omon aja..😂,tidak bisa di satukan ataupun dipertemukan antara argumen bang rocky dengan yang lainya sebab bang rocky hanya pintar berteori yang lainyaa matang dan tau di lapangan jadinya omon omon saja,"['tidak', 'bisa', 'di', 'satukan', 'ataupun', 'dipertemukan', 'antara', 'argumen', 'bang', 'rocky', 'dengan', 'yang', 'lainya', 'sebab', 'bang', 'rocky', 'hanya', 'pintar', 'berteori', 'yang', 'lainyaa', 'matang', 'dan', 'tau', 'di', 'lapangan', 'jadinya', 'omon', 'omon', 'saja']","['satukan', 'dipertemukan', 'argumen', 'bang', 'rocky', 'lainya', 'bang', 'rocky', 'pintar', 'berteori', 'lainyaa', 'matang', 'tau', 'lapangan', 'omon', 'omon']","['satu', 'temu', 'argumen', 'bang', 'rocky', 'lai', 'bang', 'rocky', 'pintar', 'teori', 'lainyaa', 'matang', 'tau', 'lapang', 'omon', 'omon']",satu temu argumen bang rocky lai bang rocky pintar teori lainyaa matang tau lapang omon omon,positive
subscribe gara² mo liat ini..RG the best argumen,subscribe gara mo lihat ini rocky gerung the best argumen,"['subscribe', 'gara', 'mo', 'lihat', 'ini', 'rocky', 'gerung', 'the', 'best', 'argumen']","['subscribe', 'gara', 'mo', 'lihat', 'rocky', 'gerung', 'best', 'argumen']","['subscribe', 'gara', 'mo', 'lihat', 'rocky', 'gerung', 'best', 'argumen']",subscribe gara mo lihat rocky gerung best argumen,positive
